,Product,F22031,F23197,F30658,F34365,F5677,F63912,F9670,H27930,H47921,H5708,M1608,M37351,M55212,M74707,PA7,PAO1,S86968,T38079,T52373,T6313,T63266,W16407,W25637,W36662,W45909,W60856,W70332,W91453,X78812,X9820
fig|287.6770.peg.4035,hypothetical protein,fig|287.6613.peg.4113,fig|287.6611.peg.4008,fig|287.6614.peg.4520,fig|287.6616.peg.4061,fig|287.6612.peg.4199,fig|287.6618.peg.4186,fig|287.6615.peg.4208,fig|287.6617.peg.4049,fig|287.6621.peg.4350,fig|287.6619.peg.3980,fig|287.6622.peg.2209,fig|287.6623.peg.2212,fig|287.6624.peg.3989,fig|287.6625.peg.4043,,fig|287.6655.peg.1300,fig|287.6631.peg.4211,fig|287.6628.peg.4172,fig|287.6632.peg.3970,fig|287.6629.peg.4477,fig|287.6635.peg.4031,fig|287.6633.peg.4369,fig|287.6634.peg.3842,fig|287.6637.peg.4302,fig|287.6636.peg.4140,fig|287.6620.peg.4697,fig|287.6630.peg.4280,fig|287.6639.peg.4471,fig|287.6638.peg.3947,fig|287.6627.peg.4046
fig|287.6770.peg.4036,"Tetrapartite efflux system, inner membrane component FusBC-like",fig|287.6613.peg.4114,fig|287.6611.peg.4009,fig|287.6614.peg.4521,fig|287.6616.peg.4062,fig|287.6612.peg.4200,fig|287.6618.peg.4187,fig|287.6615.peg.4209,fig|287.6617.peg.4050,fig|287.6621.peg.4351,fig|287.6619.peg.3981,fig|287.6622.peg.2208,fig|287.6623.peg.2211,fig|287.6624.peg.3988,,fig|287.6657.peg.4102,fig|287.6655.peg.1299,fig|287.6631.peg.4212,fig|287.6628.peg.4173,fig|287.6632.peg.3971,fig|287.6629.peg.4478,fig|287.6635.peg.4032,fig|287.6633.peg.4370,fig|287.6634.peg.3841,fig|287.6637.peg.4303,fig|287.6636.peg.4141,fig|287.6620.peg.4698,fig|287.6630.peg.4281,fig|287.6639.peg.4472,fig|287.6638.peg.3948,fig|287.6627.peg.4047
fig|287.6770.peg.4037,"Tetrapartite efflux system, membrane fusion component FusE-like",fig|287.6613.peg.4115,fig|287.6611.peg.4010,fig|287.6614.peg.4522,fig|287.6616.peg.4063,fig|287.6612.peg.4201,fig|287.6618.peg.4188,fig|287.6615.peg.4210,fig|287.6617.peg.4051,fig|287.6621.peg.4353,fig|287.6619.peg.3982,fig|287.6622.peg.2207,fig|287.6623.peg.2210,fig|287.6624.peg.3987,fig|287.6625.peg.4051,fig|287.6657.peg.4103,fig|287.6655.peg.1298,fig|287.6631.peg.4213,fig|287.6628.peg.4174,fig|287.6632.peg.3972,fig|287.6629.peg.4479,fig|287.6635.peg.4033,fig|287.6633.peg.4371,fig|287.6634.peg.3840,fig|287.6637.peg.4304,fig|287.6636.peg.4142,fig|287.6620.peg.4699,fig|287.6630.peg.4282,fig|287.6639.peg.4473,fig|287.6638.peg.3949,fig|287.6627.peg.4048
fig|287.6770.peg.4038,"Tetrapartite efflux system component, FusD-like",fig|287.6613.peg.4116,fig|287.6611.peg.4011,fig|287.6614.peg.4523,fig|287.6616.peg.4064,fig|287.6612.peg.4202,fig|287.6618.peg.4189,fig|287.6615.peg.4211,fig|287.6617.peg.4052,fig|287.6621.peg.4354,fig|287.6619.peg.3983,fig|287.6622.peg.2206,fig|287.6623.peg.2209,fig|287.6624.peg.3986,fig|287.6625.peg.4052,fig|287.6657.peg.4104,fig|287.6655.peg.1297,fig|287.6631.peg.4214,fig|287.6628.peg.4175,fig|287.6632.peg.3973,fig|287.6629.peg.4480,fig|287.6635.peg.4034,fig|287.6633.peg.4372,fig|287.6634.peg.3839,fig|287.6637.peg.4305,fig|287.6636.peg.4143,fig|287.6620.peg.4700,fig|287.6630.peg.4283,fig|287.6639.peg.4474,fig|287.6638.peg.3950,fig|287.6627.peg.4049
fig|287.6770.peg.4039,"Transcriptional regulator, AraC family",fig|287.6613.peg.4117,fig|287.6611.peg.4012,fig|287.6614.peg.4524,fig|287.6616.peg.4065,fig|287.6612.peg.4203,fig|287.6618.peg.4190,fig|287.6615.peg.4212,fig|287.6617.peg.4053,fig|287.6621.peg.4355,fig|287.6619.peg.3984,fig|287.6622.peg.2205,fig|287.6623.peg.2208,fig|287.6624.peg.3985,fig|287.6625.peg.4053,fig|287.6657.peg.4105,fig|287.6655.peg.1296,fig|287.6631.peg.4215,fig|287.6628.peg.4176,fig|287.6632.peg.3974,fig|287.6629.peg.4481,fig|287.6635.peg.4035,fig|287.6633.peg.4373,fig|287.6634.peg.3838,fig|287.6637.peg.4306,fig|287.6636.peg.4144,fig|287.6620.peg.4701,fig|287.6630.peg.4284,fig|287.6639.peg.4475,fig|287.6638.peg.3951,fig|287.6627.peg.4050
fig|287.6770.peg.403,Aldehyde dehydrogenase (EC 1.2.1.3); Probable coniferyl aldehyde dehydrogenase (EC 1.2.1.68),fig|287.6613.peg.390,fig|287.6611.peg.391,fig|287.6614.peg.396,fig|287.6616.peg.389,fig|287.6612.peg.394,fig|287.6618.peg.379,fig|287.6615.peg.408,fig|287.6617.peg.393,fig|287.6621.peg.459,fig|287.6619.peg.407,fig|287.6622.peg.456,fig|287.6623.peg.458,fig|287.6624.peg.397,fig|287.6625.peg.382,fig|287.6657.peg.462,fig|287.6655.peg.388,fig|287.6631.peg.398,fig|287.6628.peg.403,fig|287.6632.peg.390,fig|287.6629.peg.445,fig|287.6635.peg.391,fig|287.6633.peg.387,fig|287.6634.peg.400,fig|287.6637.peg.480,fig|287.6636.peg.387,fig|287.6620.peg.395,fig|287.6630.peg.400,fig|287.6639.peg.399,fig|287.6638.peg.390,fig|287.6627.peg.380
fig|287.6770.peg.4040,hypothetical protein,fig|287.6613.peg.4118,fig|287.6611.peg.4013,fig|287.6614.peg.4525,fig|287.6616.peg.4066,,fig|287.6618.peg.4191,fig|287.6615.peg.4213,fig|287.6617.peg.4054,fig|287.6621.peg.4356,fig|287.6619.peg.3985,fig|287.6622.peg.2204,fig|287.6623.peg.2207,fig|287.6624.peg.3984,fig|287.6625.peg.4054,fig|287.6657.peg.4106,fig|287.6655.peg.1295,fig|287.6631.peg.4216,fig|287.6628.peg.4177,fig|287.6632.peg.3975,fig|287.6629.peg.4482,fig|287.6635.peg.4036,fig|287.6633.peg.4374,fig|287.6634.peg.3837,fig|287.6637.peg.4307,fig|287.6636.peg.4145,fig|287.6620.peg.4702,fig|287.6630.peg.4285,fig|287.6639.peg.4476,fig|287.6638.peg.3952,fig|287.6627.peg.4051
fig|287.6770.peg.4041,hypothetical protein,fig|287.6613.peg.4119,fig|287.6611.peg.4014,fig|287.6614.peg.4526,fig|287.6616.peg.4067,fig|287.6612.peg.4206,fig|287.6618.peg.4192,fig|287.6615.peg.4214,fig|287.6617.peg.4055,fig|287.6621.peg.4357,fig|287.6619.peg.3986,fig|287.6622.peg.2203,fig|287.6623.peg.2206,fig|287.6624.peg.3983,fig|287.6625.peg.4055,fig|287.6657.peg.4107,fig|287.6655.peg.1294,fig|287.6631.peg.4217,fig|287.6628.peg.4178,fig|287.6632.peg.3976,fig|287.6629.peg.4483,fig|287.6635.peg.4037,fig|287.6633.peg.4375,fig|287.6634.peg.3836,fig|287.6637.peg.4308,fig|287.6636.peg.4146,fig|287.6620.peg.4703,fig|287.6630.peg.4286,fig|287.6639.peg.4477,fig|287.6638.peg.3953,fig|287.6627.peg.4052
fig|287.6770.peg.4042,"Transcriptional regulator, AcrR family",fig|287.6613.peg.4120,fig|287.6611.peg.4015,fig|287.6614.peg.4527,fig|287.6616.peg.4068,fig|287.6612.peg.4207,fig|287.6618.peg.4193,fig|287.6615.peg.4215,fig|287.6617.peg.4056,fig|287.6621.peg.4358,fig|287.6619.peg.3987,fig|287.6622.peg.2202,fig|287.6623.peg.2205,fig|287.6624.peg.3982,fig|287.6625.peg.4056,fig|287.6657.peg.4108,fig|287.6655.peg.1293,fig|287.6631.peg.4218,fig|287.6628.peg.4179,fig|287.6632.peg.3977,fig|287.6629.peg.4484,fig|287.6635.peg.4038,fig|287.6633.peg.4376,fig|287.6634.peg.3835,fig|287.6637.peg.4309,fig|287.6636.peg.4147,fig|287.6620.peg.4704,fig|287.6630.peg.4287,fig|287.6639.peg.4478,fig|287.6638.peg.3954,fig|287.6627.peg.4053
fig|287.6770.peg.4043,NAD(P)H oxidoreductase YrkL @ Putative NADPH-quinone reductase (modulator of drug activity B) @ Flavodoxin 2,fig|287.6613.peg.4121,fig|287.6611.peg.4016,fig|287.6614.peg.4528,fig|287.6616.peg.4069,fig|287.6612.peg.4208,fig|287.6618.peg.4194,fig|287.6615.peg.4216,fig|287.6617.peg.4057,fig|287.6621.peg.4359,fig|287.6619.peg.3988,fig|287.6622.peg.2201,fig|287.6623.peg.2204,fig|287.6624.peg.3981,fig|287.6625.peg.4057,fig|287.6657.peg.4109,fig|287.6655.peg.1292,fig|287.6631.peg.4219,fig|287.6628.peg.4180,fig|287.6632.peg.3978,fig|287.6629.peg.4485,fig|287.6635.peg.4039,fig|287.6633.peg.4377,fig|287.6634.peg.3834,fig|287.6637.peg.4310,fig|287.6636.peg.4148,fig|287.6620.peg.4705,fig|287.6630.peg.4288,fig|287.6639.peg.4479,fig|287.6638.peg.3955,fig|287.6627.peg.4054
fig|287.6770.peg.4044,Agmatine deiminase (EC 3.5.3.12),,fig|287.6611.peg.4017,,fig|287.6616.peg.4070,,,,,,fig|287.6619.peg.3989,fig|287.6622.peg.2200,fig|287.6623.peg.2203,,,,,,,,,,,,,fig|287.6636.peg.4149,,,,,
fig|287.6770.peg.4045,"ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)",,fig|287.6611.peg.4018,,fig|287.6616.peg.4071,,,,,,fig|287.6619.peg.3990,fig|287.6622.peg.2199,fig|287.6623.peg.2202,,,,,,,,,,,,,fig|287.6636.peg.4150,,,,,
fig|287.6770.peg.4046,N-carbamoylputrescine amidase (EC 3.5.1.53),,fig|287.6611.peg.4019,,fig|287.6616.peg.4072,,,,,,fig|287.6619.peg.3991,fig|287.6622.peg.2198,fig|287.6623.peg.2201,,,,,,,,,,,,,fig|287.6636.peg.4151,,,,,
fig|287.6770.peg.4047,Similar to Agmatine deiminase,,fig|287.6611.peg.4020,,fig|287.6616.peg.4073,,,,,,fig|287.6619.peg.3992,fig|287.6622.peg.2197,fig|287.6623.peg.2200,,,,,,,,,,,,,fig|287.6636.peg.4152,,,,,
fig|287.6770.peg.4048,"Transcriptional regulator, LysR family",,fig|287.6611.peg.4021,,fig|287.6616.peg.4074,,,,,,fig|287.6619.peg.3993,fig|287.6622.peg.2196,fig|287.6623.peg.2199,,,,,,,,,,,,,fig|287.6636.peg.4153,,,,,
fig|287.6770.peg.4049,"Transcriptional regulator, LysR family",,fig|287.6611.peg.4022,,fig|287.6616.peg.4075,,,,,,,fig|287.6622.peg.2195,fig|287.6623.peg.2198,,,,,,,,,,,,,,,,,,
fig|287.6770.peg.404,"Transcriptional regulator, AcrR family",fig|287.6613.peg.391,fig|287.6611.peg.392,fig|287.6614.peg.397,fig|287.6616.peg.390,fig|287.6612.peg.395,fig|287.6618.peg.380,fig|287.6615.peg.409,fig|287.6617.peg.394,fig|287.6621.peg.460,fig|287.6619.peg.408,fig|287.6622.peg.457,fig|287.6623.peg.459,fig|287.6624.peg.398,fig|287.6625.peg.383,fig|287.6657.peg.463,fig|287.6655.peg.389,fig|287.6631.peg.399,fig|287.6628.peg.404,fig|287.6632.peg.391,fig|287.6629.peg.446,fig|287.6635.peg.392,fig|287.6633.peg.388,fig|287.6634.peg.401,fig|287.6637.peg.481,fig|287.6636.peg.388,fig|287.6620.peg.396,fig|287.6630.peg.401,fig|287.6639.peg.400,fig|287.6638.peg.391,fig|287.6627.peg.381
fig|287.6770.peg.4050,Membrane-bound lytic murein transglycosylase A,fig|287.6613.peg.4124,fig|287.6611.peg.4023,fig|287.6614.peg.4531,fig|287.6616.peg.4076,fig|287.6612.peg.4211,fig|287.6618.peg.4197,fig|287.6615.peg.4219,fig|287.6617.peg.4060,fig|287.6621.peg.4362,fig|287.6619.peg.3995,fig|287.6622.peg.2194,fig|287.6623.peg.2197,fig|287.6624.peg.3978,fig|287.6625.peg.4060,fig|287.6657.peg.4113,fig|287.6655.peg.1289,fig|287.6631.peg.4222,fig|287.6628.peg.4183,fig|287.6632.peg.3981,fig|287.6629.peg.4488,fig|287.6635.peg.4042,fig|287.6633.peg.4380,fig|287.6634.peg.3831,fig|287.6637.peg.4313,fig|287.6636.peg.4155,fig|287.6620.peg.4708,fig|287.6630.peg.4291,fig|287.6639.peg.4482,fig|287.6638.peg.3958,fig|287.6627.peg.4057
fig|287.6770.peg.4051,hypothetical protein,fig|287.6613.peg.4126,fig|287.6611.peg.4024,fig|287.6614.peg.4532,fig|287.6616.peg.4077,fig|287.6612.peg.4213,fig|287.6618.peg.4199,fig|287.6615.peg.4220,fig|287.6617.peg.4061,fig|287.6621.peg.4363,fig|287.6619.peg.3997,fig|287.6622.peg.2189,fig|287.6623.peg.2192,fig|287.6624.peg.3977,fig|287.6625.peg.4061,,fig|287.6655.peg.1288,fig|287.6631.peg.4224,fig|287.6628.peg.4184,fig|287.6632.peg.3982,fig|287.6629.peg.4489,fig|287.6635.peg.4043,fig|287.6633.peg.4382,fig|287.6634.peg.3830,fig|287.6637.peg.4314,fig|287.6636.peg.4156,fig|287.6620.peg.4710,fig|287.6630.peg.4293,fig|287.6639.peg.4483,fig|287.6638.peg.3959,fig|287.6627.peg.4058
fig|287.6770.peg.4052,hypothetical protein,fig|287.6613.peg.4127,fig|287.6611.peg.4025,fig|287.6614.peg.4533,fig|287.6616.peg.4078,fig|287.6612.peg.4214,fig|287.6618.peg.4200,fig|287.6615.peg.4221,fig|287.6617.peg.4062,fig|287.6621.peg.4364,fig|287.6619.peg.3998,fig|287.6622.peg.2188,fig|287.6623.peg.2191,fig|287.6624.peg.3976,fig|287.6625.peg.4062,,fig|287.6655.peg.1287,fig|287.6631.peg.4225,fig|287.6628.peg.4185,fig|287.6632.peg.3983,fig|287.6629.peg.4490,fig|287.6635.peg.4044,fig|287.6633.peg.4383,fig|287.6634.peg.3829,fig|287.6637.peg.4315,fig|287.6636.peg.4157,fig|287.6620.peg.4711,fig|287.6630.peg.4294,fig|287.6639.peg.4484,fig|287.6638.peg.3960,fig|287.6627.peg.4059
fig|287.6770.peg.4053,hypothetical protein,fig|287.6613.peg.4128,fig|287.6611.peg.4026,fig|287.6614.peg.4534,fig|287.6616.peg.4079,fig|287.6612.peg.4215,fig|287.6618.peg.4201,fig|287.6615.peg.4222,fig|287.6617.peg.4063,fig|287.6621.peg.4365,fig|287.6619.peg.3999,fig|287.6622.peg.2187,fig|287.6623.peg.2190,fig|287.6624.peg.3975,fig|287.6625.peg.4063,,fig|287.6655.peg.1286,fig|287.6631.peg.4226,fig|287.6628.peg.4186,fig|287.6632.peg.3984,fig|287.6629.peg.4491,fig|287.6635.peg.4045,fig|287.6633.peg.4384,fig|287.6634.peg.3828,fig|287.6637.peg.4316,fig|287.6636.peg.4158,fig|287.6620.peg.4712,fig|287.6630.peg.4295,fig|287.6639.peg.4485,fig|287.6638.peg.3961,fig|287.6627.peg.4060
fig|287.6770.peg.4054,hypothetical protein,fig|287.6613.peg.4129,fig|287.6611.peg.4027,fig|287.6614.peg.4535,fig|287.6616.peg.4080,fig|287.6612.peg.4216,fig|287.6618.peg.4202,fig|287.6615.peg.4223,fig|287.6617.peg.4064,fig|287.6621.peg.4366,fig|287.6619.peg.4000,fig|287.6622.peg.2186,fig|287.6623.peg.2189,fig|287.6624.peg.3974,fig|287.6625.peg.4064,,fig|287.6655.peg.1285,fig|287.6631.peg.4227,fig|287.6628.peg.4187,fig|287.6632.peg.3985,fig|287.6629.peg.4492,fig|287.6635.peg.4046,fig|287.6633.peg.4385,fig|287.6634.peg.3827,fig|287.6637.peg.4317,fig|287.6636.peg.4159,fig|287.6620.peg.4713,fig|287.6630.peg.4296,fig|287.6639.peg.4486,fig|287.6638.peg.3962,fig|287.6627.peg.4061
fig|287.6770.peg.4055,COG0119: Isopropylmalate/homocitrate/citramalate synthases,fig|287.6613.peg.4130,fig|287.6611.peg.4028,fig|287.6614.peg.4536,fig|287.6616.peg.4081,fig|287.6612.peg.4217,fig|287.6618.peg.4203,fig|287.6615.peg.4224,fig|287.6617.peg.4065,fig|287.6621.peg.4367,fig|287.6619.peg.4001,fig|287.6622.peg.2185,fig|287.6623.peg.2188,fig|287.6624.peg.3973,fig|287.6625.peg.4065,,fig|287.6655.peg.1284,fig|287.6631.peg.4228,fig|287.6628.peg.4188,fig|287.6632.peg.3986,fig|287.6629.peg.4493,fig|287.6635.peg.4047,fig|287.6633.peg.4386,fig|287.6634.peg.3826,fig|287.6637.peg.4318,fig|287.6636.peg.4160,fig|287.6620.peg.4714,fig|287.6630.peg.4297,fig|287.6639.peg.4487,fig|287.6638.peg.3963,fig|287.6627.peg.4062
fig|287.6770.peg.4056,hypothetical protein,fig|287.6613.peg.4131,fig|287.6611.peg.4029,fig|287.6614.peg.4537,fig|287.6616.peg.4082,fig|287.6612.peg.4218,fig|287.6618.peg.4204,fig|287.6615.peg.4225,fig|287.6617.peg.4066,fig|287.6621.peg.4368,fig|287.6619.peg.4002,fig|287.6622.peg.2184,fig|287.6623.peg.2187,fig|287.6624.peg.3972,fig|287.6625.peg.4066,,fig|287.6655.peg.1283,fig|287.6631.peg.4229,fig|287.6628.peg.4189,fig|287.6632.peg.3987,fig|287.6629.peg.4494,fig|287.6635.peg.4048,fig|287.6633.peg.4387,fig|287.6634.peg.3825,fig|287.6637.peg.4319,fig|287.6636.peg.4161,fig|287.6620.peg.4715,fig|287.6630.peg.4298,fig|287.6639.peg.4488,fig|287.6638.peg.3964,fig|287.6627.peg.4063
fig|287.6770.peg.4057,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,fig|287.6613.peg.4132,fig|287.6611.peg.4030,fig|287.6614.peg.4538,fig|287.6616.peg.4083,fig|287.6612.peg.4219,fig|287.6618.peg.4205,fig|287.6615.peg.4226,fig|287.6617.peg.4067,fig|287.6621.peg.4369,fig|287.6619.peg.4003,fig|287.6622.peg.2183,fig|287.6623.peg.2186,fig|287.6624.peg.3971,fig|287.6625.peg.4067,,fig|287.6655.peg.1282,fig|287.6631.peg.4230,fig|287.6628.peg.4190,fig|287.6632.peg.3988,fig|287.6629.peg.4495,fig|287.6635.peg.4049,fig|287.6633.peg.4388,fig|287.6634.peg.3824,fig|287.6637.peg.4320,fig|287.6636.peg.4162,fig|287.6620.peg.4716,fig|287.6630.peg.4299,fig|287.6639.peg.4489,fig|287.6638.peg.3965,fig|287.6627.peg.4064
fig|287.6770.peg.4058,Asparagine synthase (glutamine-hydrolyzing),fig|287.6613.peg.4133,fig|287.6611.peg.4031,fig|287.6614.peg.4539,fig|287.6616.peg.4084,fig|287.6612.peg.4220,fig|287.6618.peg.4206,fig|287.6615.peg.4227,fig|287.6617.peg.4068,fig|287.6621.peg.4370,fig|287.6619.peg.4004,fig|287.6622.peg.2182,fig|287.6623.peg.2185,fig|287.6624.peg.3970,fig|287.6625.peg.4068,,fig|287.6655.peg.1281,fig|287.6631.peg.4231,fig|287.6628.peg.4191,fig|287.6632.peg.3989,fig|287.6629.peg.4496,fig|287.6635.peg.4050,fig|287.6633.peg.4389,fig|287.6634.peg.3823,fig|287.6637.peg.4321,fig|287.6636.peg.4163,fig|287.6620.peg.4717,fig|287.6630.peg.4300,fig|287.6639.peg.4490,fig|287.6638.peg.3966,fig|287.6627.peg.4065
fig|287.6770.peg.4059,hypothetical protein,fig|287.6613.peg.4134,fig|287.6611.peg.4032,fig|287.6614.peg.4540,fig|287.6616.peg.4085,fig|287.6612.peg.4221,fig|287.6618.peg.4207,fig|287.6615.peg.4228,fig|287.6617.peg.4069,fig|287.6621.peg.4371,fig|287.6619.peg.4005,,fig|287.6623.peg.2184,fig|287.6624.peg.3969,fig|287.6625.peg.4069,,fig|287.6655.peg.1280,fig|287.6631.peg.4232,fig|287.6628.peg.4192,fig|287.6632.peg.3990,fig|287.6629.peg.4497,fig|287.6635.peg.4051,fig|287.6633.peg.4390,fig|287.6634.peg.3822,fig|287.6637.peg.4322,fig|287.6636.peg.4164,fig|287.6620.peg.4718,fig|287.6630.peg.4301,fig|287.6639.peg.4491,fig|287.6638.peg.3967,fig|287.6627.peg.4066
fig|287.6770.peg.405,hypothetical protein,fig|287.6613.peg.392,fig|287.6611.peg.393,fig|287.6614.peg.398,fig|287.6616.peg.391,fig|287.6612.peg.396,fig|287.6618.peg.381,fig|287.6615.peg.410,fig|287.6617.peg.395,fig|287.6621.peg.461,fig|287.6619.peg.409,fig|287.6622.peg.458,fig|287.6623.peg.460,fig|287.6624.peg.399,fig|287.6625.peg.384,fig|287.6657.peg.464,fig|287.6655.peg.390,fig|287.6631.peg.400,fig|287.6628.peg.405,fig|287.6632.peg.392,fig|287.6629.peg.447,fig|287.6635.peg.393,fig|287.6633.peg.389,fig|287.6634.peg.402,fig|287.6637.peg.482,fig|287.6636.peg.389,fig|287.6620.peg.397,fig|287.6630.peg.402,fig|287.6639.peg.401,fig|287.6638.peg.392,fig|287.6627.peg.382
fig|287.6770.peg.4060,Uncharacterized MFS-type transporter,fig|287.6613.peg.4135,fig|287.6611.peg.4033,fig|287.6614.peg.4541,fig|287.6616.peg.4086,fig|287.6612.peg.4222,fig|287.6618.peg.4208,,fig|287.6617.peg.4070,fig|287.6621.peg.4372,fig|287.6619.peg.4006,fig|287.6622.peg.2179,fig|287.6623.peg.2183,fig|287.6624.peg.3968,fig|287.6625.peg.4070,,fig|287.6655.peg.1279,fig|287.6631.peg.4233,fig|287.6628.peg.4193,fig|287.6632.peg.3991,fig|287.6629.peg.4498,fig|287.6635.peg.4052,fig|287.6633.peg.4391,fig|287.6634.peg.3821,fig|287.6637.peg.4323,fig|287.6636.peg.4165,fig|287.6620.peg.4719,fig|287.6630.peg.4302,fig|287.6639.peg.4492,fig|287.6638.peg.3968,fig|287.6627.peg.4067
fig|287.6770.peg.4061,hypothetical protein,fig|287.6613.peg.4136,fig|287.6611.peg.4034,fig|287.6614.peg.4542,fig|287.6616.peg.4087,fig|287.6612.peg.4223,fig|287.6618.peg.4209,fig|287.6615.peg.4231,fig|287.6617.peg.4071,fig|287.6621.peg.4373,fig|287.6619.peg.4007,fig|287.6622.peg.2178,fig|287.6623.peg.2182,fig|287.6624.peg.3967,fig|287.6625.peg.4071,,fig|287.6655.peg.1278,fig|287.6631.peg.4234,fig|287.6628.peg.4194,fig|287.6632.peg.3992,fig|287.6629.peg.4499,fig|287.6635.peg.4053,fig|287.6633.peg.4392,fig|287.6634.peg.3820,fig|287.6637.peg.4324,fig|287.6636.peg.4166,fig|287.6620.peg.4720,fig|287.6630.peg.4303,fig|287.6639.peg.4493,fig|287.6638.peg.3969,fig|287.6627.peg.4068
fig|287.6770.peg.4062,Pirin,fig|287.6613.peg.4137,fig|287.6611.peg.4035,fig|287.6614.peg.4543,fig|287.6616.peg.4088,fig|287.6612.peg.4224,fig|287.6618.peg.4210,fig|287.6615.peg.4232,fig|287.6617.peg.4072,fig|287.6621.peg.4374,fig|287.6619.peg.4008,fig|287.6622.peg.2177,fig|287.6623.peg.2181,fig|287.6624.peg.3966,fig|287.6625.peg.4072,fig|287.6657.peg.4114,fig|287.6655.peg.1277,fig|287.6631.peg.4235,fig|287.6628.peg.4195,fig|287.6632.peg.3993,fig|287.6629.peg.4500,fig|287.6635.peg.4054,fig|287.6633.peg.4393,fig|287.6634.peg.3819,fig|287.6637.peg.4325,fig|287.6636.peg.4167,fig|287.6620.peg.4721,fig|287.6630.peg.4304,fig|287.6639.peg.4494,fig|287.6638.peg.3970,fig|287.6627.peg.4069
fig|287.6770.peg.4063,hypothetical protein,fig|287.6613.peg.4138,fig|287.6611.peg.4036,fig|287.6614.peg.4544,fig|287.6616.peg.4089,fig|287.6612.peg.4225,fig|287.6618.peg.4211,fig|287.6615.peg.4233,fig|287.6617.peg.4073,fig|287.6621.peg.4375,fig|287.6619.peg.4009,fig|287.6622.peg.2176,fig|287.6623.peg.2180,fig|287.6624.peg.3965,fig|287.6625.peg.4073,fig|287.6657.peg.4115,fig|287.6655.peg.1276,fig|287.6631.peg.4236,fig|287.6628.peg.4196,fig|287.6632.peg.3994,fig|287.6629.peg.4501,fig|287.6635.peg.4055,fig|287.6633.peg.4394,fig|287.6634.peg.3818,fig|287.6637.peg.4326,fig|287.6636.peg.4168,fig|287.6620.peg.4722,fig|287.6630.peg.4305,fig|287.6639.peg.4495,fig|287.6638.peg.3971,fig|287.6627.peg.4070
fig|287.6770.peg.4064,"Monooxygenase, flavin-binding family",fig|287.6613.peg.4139,fig|287.6611.peg.4037,fig|287.6614.peg.4545,fig|287.6616.peg.4090,fig|287.6612.peg.4226,fig|287.6618.peg.4212,fig|287.6615.peg.4234,fig|287.6617.peg.4074,fig|287.6621.peg.4376,fig|287.6619.peg.4010,fig|287.6622.peg.2175,fig|287.6623.peg.2179,fig|287.6624.peg.3964,fig|287.6625.peg.4074,fig|287.6657.peg.4116,fig|287.6655.peg.1275,fig|287.6631.peg.4237,fig|287.6628.peg.4197,fig|287.6632.peg.3995,fig|287.6629.peg.4502,fig|287.6635.peg.4056,fig|287.6633.peg.4395,fig|287.6634.peg.3817,fig|287.6637.peg.4327,fig|287.6636.peg.4169,fig|287.6620.peg.4723,fig|287.6630.peg.4306,fig|287.6639.peg.4496,fig|287.6638.peg.3972,fig|287.6627.peg.4071
fig|287.6770.peg.4065,"Inner membrane protein, KefB/KefC family",fig|287.6613.peg.4140,fig|287.6611.peg.4038,fig|287.6614.peg.4546,fig|287.6616.peg.4091,fig|287.6612.peg.4227,fig|287.6618.peg.4213,fig|287.6615.peg.4235,fig|287.6617.peg.4075,fig|287.6621.peg.4377,fig|287.6619.peg.4011,fig|287.6622.peg.2174,fig|287.6623.peg.2178,fig|287.6624.peg.3963,fig|287.6625.peg.4075,fig|287.6657.peg.4117,fig|287.6655.peg.1274,fig|287.6631.peg.4238,fig|287.6628.peg.4198,fig|287.6632.peg.3996,fig|287.6629.peg.4503,fig|287.6635.peg.4057,fig|287.6633.peg.4396,fig|287.6634.peg.3816,fig|287.6637.peg.4328,fig|287.6636.peg.4170,fig|287.6620.peg.4724,fig|287.6630.peg.4307,fig|287.6639.peg.4497,fig|287.6638.peg.3973,fig|287.6627.peg.4072
fig|287.6770.peg.4066,hypothetical protein,fig|287.6613.peg.4141,fig|287.6611.peg.4039,fig|287.6614.peg.4547,fig|287.6616.peg.4092,fig|287.6612.peg.4228,fig|287.6618.peg.4214,fig|287.6615.peg.4236,fig|287.6617.peg.4076,fig|287.6621.peg.4378,fig|287.6619.peg.4012,fig|287.6622.peg.2173,fig|287.6623.peg.2177,fig|287.6624.peg.3962,fig|287.6625.peg.4076,fig|287.6657.peg.4118,fig|287.6655.peg.1273,fig|287.6631.peg.4239,fig|287.6628.peg.4199,fig|287.6632.peg.3997,fig|287.6629.peg.4504,fig|287.6635.peg.4058,fig|287.6633.peg.4397,fig|287.6634.peg.3815,fig|287.6637.peg.4329,fig|287.6636.peg.4171,fig|287.6620.peg.4725,fig|287.6630.peg.4308,fig|287.6639.peg.4498,fig|287.6638.peg.3974,fig|287.6627.peg.4073
